sell 0.00 | sp 0.0000 | buy -0.07 | bp 0.0000 

sell 0.00 | sp 0.0000 | buy -0.07 | bp 0.0000
sell 0.00 | sp 0.0000 | buy 0.17 | bp 0.0000 

sell 0.00 | sp 0.0000 | buy 0.17 | bp 0.0000
sell 0.10 | sp 0.1000 | buy 0.20 | bp 0.1000 

sell 0.10 | sp 0.1000 | buy 0.20 | bp 0.1000
sell 0.37 | sp 0.7000 | buy 2.77 | bp 0.6000 

sell -0.37 | sp 0.0333 | buy 0.30 | bp 0.0000
sell 0.33 | sp -0.7667 | buy -0.03 | bp 0.0000 

sell 0.33 | sp -0.7667 | buy -0.03 | bp 0.0000
sell -0.17 | sp 0.0333 | buy -0.10 | bp 0.0000 

sell 0.13 | sp -0.0667 | buy 1.23 | bp -6.9000
sell -0.03 | sp 0.9000 | buy -1.23 | bp 0.0000 

sell -0.03 | sp 0.9000 | buy -1.23 | bp 0.0000
sell -0.10 | sp -1.2333 | buy 0.13 | bp 0.0000 

sell -0.10 | sp -1.2333 | buy 0.13 | bp 0.0000
sell 0.07 | sp -0.5333 | buy 0.00 | bp 0.0000 

sell 0.07 | sp -0.5333 | buy 0.00 | bp 0.0000
sell 0.07 | sp 0.3333 | buy 0.17 | bp 0.6667 

sell 0.07 | sp 0.3333 | buy 0.17 | bp 0.6667
sell 0.03 | sp 0.5000 | buy -0.30 | bp 0.2333 

sell 0.00 | sp 0.0000 | buy -0.60 | bp 0.0000
sell 0.10 | sp 0.0333 | buy 0.07 | bp -0.0333 

sell 0.10 | sp 0.0333 | buy 0.07 | bp -0.0333
sell -0.10 | sp 0.2000 | buy 0.03 | bp 0.0000 

sell -0.10 | sp 0.2000 | buy 0.03 | bp 0.0000
sell 0.00 | sp -0.2667 | buy 0.10 | bp 0.0333 

sell 0.00 | sp -0.2667 | buy 0.10 | bp 0.0333
sell 0.07 | sp 0.5333 | buy 0.13 | bp -0.0333 

